"xlong","ylat","t_cap"
-98.83133,44.4105,2800
-98.85706,44.39734,2800
-98.87193,44.43208,2800
-98.86655,44.43362,2800
-98.74487,44.35345,2800
-98.83925,44.39102,2800
-98.79952,44.40925,2800
-98.83514,44.44004,2800
-98.81131,44.41743,2800
-98.84515,44.45149,2800
-98.83353,44.45229,2800
-98.84534,44.39068,2800
-98.82459,44.38957,2800
-98.8616,44.4484,2800
-98.86684,44.41974,2800
-98.8046,44.36592,2800
-98.85957,44.43668,2800
-98.82768,44.45254,2800
-98.7583,44.3502,2800
-98.829,44.38688,2800
-98.80952,44.40538,2800
-98.80559,44.44473,2800
-98.7995,44.37408,2800
-98.87209,44.41813,2800
-98.82241,44.453,2800
-98.82497,44.42896,2800
-98.8408,44.42635,2800
-98.82993,44.42711,2800
-98.84042,44.43943,2800
-98.81269,44.44472,2800
-98.78633,44.3797,2800
-98.86713,44.4057,2800
-98.75452,44.35159,2800
-98.84636,44.42494,2800
-98.81516,44.43179,2800
-105.54872,34.39148,
-98.79318,44.38148,2800
-98.85673,44.42346,2800
-98.7626,44.34943,2800
-98.87136,44.40266,2800
-98.81027,44.43321,2800
-98.85081,44.45155,2800
-98.826,44.4104,2800
-98.80558,44.39301,2800
-98.81082,44.45253,2800
-98.80836,44.42017,2800
-98.86163,44.40846,2800
-98.77636,44.37905,2800
-98.84625,44.40113,2800
-98.85123,44.4099,2800
-98.85256,44.4378,2800
-98.80573,44.40721,2800
-98.81029,44.36399,2800
-98.75068,44.35401,2800
-98.87936,44.41713,2800
-98.82985,44.44081,2800
-98.84672,44.43883,2800
-98.86137,44.38724,2800
-98.82444,44.44158,2800
-98.85069,44.38967,2800
-100.32824,32.34241,1500
-100.3287,32.36762,1500
-100.33745,32.36803,1500
-100.337,32.34858,1500
-100.33064,32.38275,1500
-100.3352,32.36803,1500
-100.35291,32.36237,1500
-100.34831,32.36219,1500
-100.33036,32.36793,1500
-100.32866,32.38278,1500
-100.33334,32.382,1500
-105.57993,34.95685,
-100.34489,32.34599,1500
-100.35523,32.36249,1500
-100.33484,32.34308,1500
